Basic administrative units,Metropolitan cities/provinces,KOR_SD_NM,KOR_SGG_NM,2015 annual mean PM2.5 (μg/m^3),PM2_5_Ischemic heart disease,PM2_5_Chronic obstructive lung disease,PM2_5_Lung cancer,PM2_5_Stroke,PM2_5__burden__Total,simply_PM2_5__burden__Total
Boeun-gun,Chungcheongbuk,충청북도,보은군,25.6,3.9 (2.7–5.1),1.2 (0.5–2),4 (0.9–6.4),8.9 (3.6–14.2),18 (12–24),18 
Okcheon-gun,Chungcheongbuk,충청북도,옥천군,26.1,5.1 (3.5–6.7),1.5 (0.6–2.4),5.2 (1.2–8.3),11.5 (4.6–18.3),23.3 (15.6–31),23.3 
Yeongdong-gun,Chungcheongbuk,충청북도,영동군,26.3,5.2 (3.6–6.8),1.6 (0.6–2.5),5.4 (1.2–8.6),11.8 (4.7–18.8),24 (16.1–31.9),24 
Jeungpyeong-gun,Chungcheongbuk,충청북도,증평군,27.1,2.2 (1.5–2.9),0.6 (0.2–1),2.3 (0.5–3.6),5.1 (2–8),10.2 (6.9–13.5),10.2 
Jincheon-gun,Chungcheongbuk,충청북도,진천군,28,4.8 (3.3–6.3),1.3 (0.5–2.1),4.9 (1.1–7.8),11.1 (4.4–17.5),22.2 (15–29.3),22.2 
Goesan-gun,Chungcheongbuk,충청북도,괴산군,25.6,4.2 (2.9–5.5),1.2 (0.5–2),4.4 (1–7),9.4 (3.8–15),19.2 (12.8–25.6),19.2 
Umseong-gun,Chungcheongbuk,충청북도,음성군,26.8,6.8 (4.7–8.9),1.9 (0.7–3),6.9 (1.6–10.9),15.4 (6.2–24.3),30.9 (20.9–40.9),30.9 
Danyang-gun,Chungcheongbuk,충청북도,단양군,22.1,2.7 (1.9–3.4),0.7 (0.3–1.2),2.6 (0.5–4.2),5.3 (2.3–8.3),11.3 (7.9–14.8),11.3 
"Cheonan–si,
Dongnam-gu",Chungcheongnam,충청남도,천안시동남구,28.3,14.4 (10–19.2),3.8 (1.5–6.1),12.7 (2.9–20.1),27.9 (11–43.8),58.8 (40.5–77.2),58.8 
"Cheonan-si, Sebuk-
gu",Chungcheongnam,충청남도,천안시서북구,27.9,13.6 (9.5–17.9),3.2 (1.2–5.1),11.3 (2.6–17.9),25.8 (10.4–40.3),53.9 (37.3–70.4),53.9 
Gongju-si,Chungcheongnam,충청남도,공주시,27,10.2 (7–13.5),3.2 (1.2–5.1),9.2 (2.1–14.6),19.6 (7.8–31.3),42.1 (28.7–55.6),42.1 
Boryeong-si,Chungcheongnam,충청남도,보령시,24,8.6 (5.9–11.1),2.5 (0.9–4),7.4 (1.6–11.9),15.3 (6.3–24.4),33.7 (23.1–44.3),33.7 
Asan-si,Chungcheongnam,충청남도,아산시,26.1,15.2 (10.6–19.8),4 (1.6–6.6),12.9 (2.9–20.6),28.1 (11.4–44.6),60.3 (41.4–79.2),60.3 
Seosan-si,Chungcheongnam,충청남도,서산시,21.1,10.4 (7.3–13.3),2.8 (1–4.6),8.1 (1.7–13.2),16.7 (7.4–25.5),38 (27.3–48.7),38 
Nonsan-si,Chungcheongnam,충청남도,논산시,30.3,12.2 (8.4–16.6),4 (1.6–6.4),11.7 (2.7–18.4),24.8 (9.4–38.6),52.7 (36.5–68.9),52.7 
Gyeryong-si,Chungcheongnam,충청남도,계룡시,28.3,2 (1.4–2.6),0.5 (0.2–0.8),1.7 (0.4–2.6),3.8 (1.5–6),7.9 (5.5–10.4),7.9 
Dangjin-gun,Chungcheongnam,충청남도,당진시,22.9,10.5 (7.3–13.5),2.9 (1.1–4.8),8.6 (1.8–13.8),17.9 (7.6–28.3),39.9 (27.7–52),39.9 
Gumsan-gun,Chungcheongnam,충청남도,금산군,28.2,5.9 (4.1–7.9),1.9 (0.8–3.1),5.6 (1.3–8.8),11.7 (4.5–18.6),25.1 (17.1–33.1),25.1 
Buyeo-gun,Chungcheongnam,충청남도,부여군,28.1,8.7 (6–11.7),2.9 (1.2–4.7),8.1 (1.8–12.8),17.1 (6.6–27.3),36.8 (25–48.6),36.8 
Socheon-gun,Chungcheongnam,충청남도,서천군,28.2,7.3 (5–9.7),2.5 (1–3.9),6.8 (1.6–10.7),14.3 (5.5–22.8),30.8 (20.9–40.6),30.8 
Cheongyang-gun,Chungcheongnam,충청남도,청양군,25.8,4.1 (2.8–5.4),1.4 (0.5–2.2),3.7 (0.8–5.9),7.7 (3.1–12.5),16.8 (11.4–22.3),16.8 
Hongseong-gun,Chungcheongnam,충청남도,홍성군,22.8,7.8 (5.4–10),2.3 (0.9–3.7),6.5 (1.4–10.5),13.4 (5.7–21.2),29.9 (20.7–39.1),29.9 
Yesan-gun,Chungcheongnam,충청남도,예산군,24.1,8.2 (5.7–10.6),2.5 (0.9–4.1),7.1 (1.5–11.4),14.7 (6.1–23.6),32.5 (22.2–42.8),32.5 
Taean-gun,Chungcheongnam,충청남도,태안군,19.7,5.2 (3.6–6.6),1.4 (0.5–2.4),4.1 (0.8–6.8),7.9 (3.6–11.7),18.6 (13.7–23.6),18.6 
"Jeonju-si, Wansan-
gu",Jeollabuk,전라북도,전주시완산구,33,19.7 (13.6–26.5),5 (2.1–7.9),19.8 (4.9–30.6),52.1 (20.4–76.7),96.6 (68.7–124.4),96.6 
"Jeonju-si, Deokjin-
gu",Jeollabuk,전라북도,전주시덕진구,34,15.4 (10.6–20.9),3.9 (1.6–6.1),15.9 (4–24.4),41.3 (16.1–60.1),76.5 (55.1–97.9),76.5 
Gunsan-si,Jeollabuk,전라북도,군산시,29,15.9 (11.1–20.8),4.1 (1.7–6.5),15.4 (3.6–24.1),40.2 (16.2–62),75.6 (51.5–99.7),75.6 
Iksan-si,Jeollabuk,전라북도,익산시,33.3,20 (13.7–27.2),5.8 (2.4–9.1),20.6 (5.1–31.7),54 (20.9–79.7),100.4 (71.3–129.4),100.4 
Jeongeup-si,Jeollabuk,전라북도,정읍시,28.9,10.2 (7–13.4),3.2 (1.3–5),10.1 (2.4–15.8),26.6 (10.5–41.5),50 (33.6–66.4),50 
Namwon-si,Jeollabuk,전라북도,남원시,26.1,7.2 (5–9.3),2.2 (0.9–3.5),6.8 (1.5–10.8),17.9 (7.4–28.4),34.1 (22.7–45.6),34.1 
Gimje-si,Jeollabuk,전라북도,김제시,31.4,9.4 (6.5–12.7),3.2 (1.3–5),9.7 (2.4–15.1),25.5 (9.9–39),47.8 (32.9–62.8),47.8 
Wanju-gun,Jeollabuk,전라북도,완주군,32.4,7.4 (5.1–10),2.3 (0.9–3.6),7.6 (1.9–11.8),20 (7.7–29.9),37.2 (26.1–48.4),37.2 
Jinan-gun,Jeollabuk,전라북도,진안군,29.3,2.8 (1.9–3.7),0.9 (0.4–1.5),2.9 (0.7–4.5),7.5 (2.9–11.7),14.1 (9.5–18.7),14.1 
Muju-gun,Jeollabuk,전라북도,무주군,26.7,2.6 (1.8–3.3),0.8 (0.3–1.3),2.5 (0.6–3.9),6.5 (2.7–10.4),12.4 (8.2–16.6),12.4 
Jangsu-gun,Jeollabuk,전라북도,장수군,27.2,2.4 (1.6–3.1),0.8 (0.3–1.2),2.3 (0.5–3.6),6.1 (2.4–9.6),11.5 (7.6–15.4),11.5 
Imsil-gun,Jeollabuk,전라북도,임실군,28.8,3.3 (2.3–4.4),1.1 (0.4–1.8),3.3 (0.8–5.2),8.7 (3.4–13.7),16.5 (11–21.9),16.5 
Sunchang-gun,Jeollabuk,전라북도,순창군,26,3 (2.1–3.9),0.9 (0.4–1.5),2.9 (0.7–4.6),7.6 (3.1–12.1),14.5 (9.5–19.4),14.5 
Gochang-gun,Jeollabuk,전라북도,고창군,23.8,5.6 (3.9–7.1),1.7 (0.6–2.7),5.2 (1.1–8.2),13.2 (5.6–21),25.6 (17–34.2),25.6 
Buan-gun,Jeollabuk,전라북도,부안군,25.9,5.4 (3.7–6.9),1.6 (0.6–2.6),5.1 (1.2–8.1),13.3 (5.5–21.2),25.4 (16.8–34),25.4 
Mokpo-si,Jeollanam,전라남도,목포시,27.8,18 (12.4–23.9),4.1 (1.6–6.7),13 (2.9–20.9),31.7 (12.2–51.5),66.9 (44.6–89.1),66.9 
Yeosu-si,Jeollanam,전라남도,여수시,19.5,20 (13.9–25.6),4.2 (1.5–7.2),12.3 (2.4–20.3),27.6 (12.4–41.4),64.1 (47–81.3),64.1 
Suncheon-si,Jeollanam,전라남도,순천시,22.2,19.2 (13.3–24.7),4.3 (1.6–7.1),12 (2.5–19.6),29.6 (12.5–47.2),65.1 (44.9–85.2),65.1 
Naju-si,Jeollanam,전라남도,나주시,25.4,11.1 (7.6–14.6),3 (1.2–5),8 (1.7–12.9),19.4 (7.6–32.1),41.5 (27.3–55.7),41.5 
Gwangyang-si,Jeollanam,전라남도,광양시,24.3,9.8 (6.8–12.7),2.2 (0.8–3.5),6.2 (1.3–10),16 (6.5–25.9),34.1 (23–45.2),34.1 
Damyang-gun,Jeollanam,전라남도,담양군,23.7,6.1 (4.2–8),1.7 (0.6–2.8),4.3 (0.9–7),10.3 (4.1–17),22.4 (14.9–30),22.4 
Gokseong-gun,Jeollanam,전라남도,곡성군,23.5,4.6 (3.2–6),1.3 (0.5–2.2),3.2 (0.7–5.2),7.8 (3.1–12.9),16.9 (11.2–22.6),16.9 
Gurye-gun,Jeollanam,전라남도,구례군,24.8,3.9 (2.7–5.1),1.1 (0.4–1.8),2.8 (0.6–4.6),6.8 (2.7–11.3),14.6 (9.6–19.6),14.6 
Goheung-gun,Jeollanam,전라남도,고흥군,18.2,9.8 (6.7–12.7),2.5 (0.9–4.3),6 (1.1–10.1),13.2 (6.1–19.5),31.4 (23.1–39.7),31.4 
Boseong-gun,Jeollanam,전라남도,보성군,21.1,6.5 (4.5–8.4),1.8 (0.6–3),4.3 (0.9–7),10.1 (4.3–16.1),22.6 (15.7–29.6),22.6 
Hwasun-gun,Jeollanam,전라남도,화순군,23,7.2 (5–9.4),1.9 (0.7–3.1),4.9 (1–8),11.8 (4.8–19.3),25.8 (17.3–34.3),25.8 
Jangheung-gun,Jeollanam,전라남도,장흥군,21.3,5.5 (3.8–7.1),1.5 (0.5–2.5),3.6 (0.7–5.9),8.5 (3.6–13.6),19 (13.1–24.9),19 
Gangjin-gun,Jeollanam,전라남도,강진군,21.9,5 (3.5–6.5),1.4 (0.5–2.3),3.4 (0.7–5.6),8 (3.3–13),17.8 (12.1–23.5),17.8 
Haenam-gun,Jeollanam,전라남도,해남군,21.4,9 (6.2–11.6),2.3 (0.9–3.9),6.1 (1.2–9.9),14 (5.9–22.4),31.4 (21.6–41.1),31.4 
Yeongam-gun,Jeollanam,전라남도,영암군,26.7,6.8 (4.6–9),1.9 (0.7–3),4.9 (1.1–8),12.1 (4.7–20),25.7 (16.9–34.5),25.7 
Muan-gun,Jeollanam,전라남도,무안군,26.1,7.8 (5.4–10.3),2.1 (0.8–3.4),5.6 (1.2–9.1),13.8 (5.4–22.7),29.3 (19.3–39.2),29.3 
Hampyeong-gun,Jeollanam,전라남도,함평군,24.5,5.1 (3.5–6.7),1.4 (0.5–2.4),3.7 (0.8–6),8.8 (3.5–14.6),19 (12.5–25.5),19 
Yeonggwang-gun,Jeollanam,전라남도,영광군,22.1,6.2 (4.3–8.1),1.6 (0.6–2.7),4.3 (0.9–7),9.9 (4.1–16),22 (15–29),22 
Jangseong-gun,Jeollanam,전라남도,장성군,24.4,5.7 (3.9–7.5),1.6 (0.6–2.6),4.1 (0.9–6.6),9.8 (3.9–16.3),21.3 (14.1–28.5),21.3 
Wando-gun,Jeollanam,전라남도,완도군,15.4,5 (3.4–6.7),1.1 (0.4–2),2.9 (0.5–5),5.7 (2.7–8.3),14.7 (10.9–18.5),14.7 
Jindo-gun,Jeollanam,전라남도,진도군,17.2,3.6 (2.5–4.7),0.9 (0.3–1.5),2.2 (0.4–3.7),4.6 (2.1–6.6),11.2 (8.4–14.1),11.2 
Sinan-gun,Jeollanam,전라남도,신안군,19.2,5 (3.5–6.5),1.3 (0.4–2.2),3.3 (0.6–5.5),7.2 (3.2–10.8),16.8 (12.1–21.4),16.8 
"Pohang-si, Nam-gu",Gyeongsangbuk,경상북도,포항시남구,19.5,15 (10.5–19.1),3.3 (1.2–5.6),9.5 (1.9–15.8),21.2 (9.6–31.4),49 (36.2–61.8),49 
"Pohang-si, Buk-gu",Gyeongsangbuk,경상북도,포항시북구,20,18.1 (12.6–23),4.2 (1.5–7.1),11.4 (2.3–18.9),26.2 (11.7–39.6),59.8 (43.5–76.2),59.8 
Gyeongju-si,Gyeongsangbuk,경상북도,경주시,23.7,24.9 (17.2–32.4),7 (2.6–11.5),17.3 (3.7–28.1),41.6 (16.9–68.1),90.8 (60.9–120.7),90.8 
Gimcheon-si,Gyeongsangbuk,경상북도,김천시,26.1,15.7 (10.8–20.8),4.8 (1.9–7.8),11.3 (2.5–18.2),28 (10.9–46.1),59.8 (39.6–80),59.8 
Andong-si,Gyeongsangbuk,경상북도,안동시,20,16.2 (11.2–20.8),4.4 (1.6–7.5),10.2 (2–16.8),23.6 (10.4–36.2),54.4 (39.1–69.7),54.4 
Gumi-si,Gyeongsangbuk,경상북도,구미시,25.3,21.1 (14.6–27.4),4.9 (1.9–8.1),13.8 (3–22.3),36.4 (14.7–58.8),76.3 (51.3–101.2),76.3 
Yeongju-si,Gyeongsangbuk,경상북도,영주시,20.3,11.5 (8–14.8),3.2 (1.1–5.4),7.4 (1.5–12.2),17.1 (7.4–26.5),39.2 (27.9–50.5),39.2 
Yeongcheon-si,Gyeongsangbuk,경상북도,영천시,25.1,12.5 (8.6–16.5),3.8 (1.5–6.2),9.1 (2–14.7),21.9 (8.7–36.1),47.3 (31.3–63.3),47.3 
Sangju-si,Gyeongsangbuk,경상북도,상주시,25,14.7 (10.1–19.3),4.7 (1.8–7.7),10.4 (2.3–16.8),25.7 (10.2–42.5),55.5 (36.7–74.3),55.5 
Mungyeong-si,Gyeongsangbuk,경상북도,문경시,23.6,9.5 (6.6–12.4),2.9 (1.1–4.7),6.7 (1.4–10.8),15.9 (6.4–26.2),34.9 (23.3–46.5),34.9 
Gyeongsan-si,Gyeongsangbuk,경상북도,경산시,26.8,20.6 (14.2–27.3),5.6 (2.2–9),15.1 (3.4–24.2),37 (14.4–60.2),78.3 (52.2–104.4),78.3 
Gunwi-gun,Gyeongsangbuk,경상북도,군위군,24.3,4.2 (2.8–5.4),1.3 (0.5–2.2),2.9 (0.6–4.8),7.1 (2.8–11.8),15.6 (10.3–20.8),15.6 
Uiseong-gun,Gyeongsangbuk,경상북도,의성군,22.7,9.7 (6.7–12.7),3.1 (1.1–5.1),6.6 (1.4–10.8),15.9 (6.5–26.1),35.3 (23.7–46.9),35.3 
Cheongsong-gun,Gyeongsangbuk,경상북도,청송군,19.8,3.8 (2.6–4.8),1.1 (0.4–1.8),2.4 (0.5–4),5.5 (2.4–8.4),12.7 (9.2–16.3),12.7 
Yeongyang-gun,Gyeongsangbuk,경상북도,영양군,16.8,2.3 (1.6–3),0.6 (0.2–1.1),1.4 (0.3–2.3),2.9 (1.4–4.1),7.2 (5.4–9),7.2 
Yeongdeok-gun,Gyeongsangbuk,경상북도,영덕군,16.6,5 (3.4–6.5),1.3 (0.4–2.3),2.9 (0.5–5),6.1 (2.9–8.7),15.2 (11.4–19),15.2 
Cheongdo-gun,Gyeongsangbuk,경상북도,청도군,25.1,7.2 (4.9–9.5),2.3 (0.9–3.8),5.1 (1.1–8.3),12.6 (5–20.9),27.2 (18–36.5),27.2 
Goryeong-gun,Gyeongsangbuk,경상북도,고령군,23.4,4.5 (3.1–5.8),1.4 (0.5–2.2),3.1 (0.6–5),7.4 (3–12.2),16.3 (10.9–21.7),16.3 
Seongju-gun,Gyeongsangbuk,경상북도,성주군,24.7,6.1 (4.2–7.9),1.9 (0.7–3.1),4.3 (0.9–6.9),10.4 (4.2–17.3),22.7 (15–30.3),22.7 
Chilgok-gun,Gyeongsangbuk,경상북도,칠곡군,24.9,8.8 (6.1–11.5),2.4 (0.9–4),6 (1.3–9.7),15.2 (6.1–24.8),32.4 (21.7–43.2),32.4 
Yecheon-gun,Gyeongsangbuk,경상북도,예천군,22,7.3 (5–9.4),2.3 (0.8–3.8),4.8 (1–7.9),11.6 (4.8–18.8),26 (17.7–34.2),26 
Bonghwa-gun,Gyeongsangbuk,경상북도,봉화군,17.8,4.6 (3.2–6),1.3 (0.4–2.2),2.7 (0.5–4.6),6 (2.8–8.8),14.6 (10.9–18.4),14.6 
Uljin-gun,Gyeongsangbuk,경상북도,울진군,14.8,4.9 (3.2–6.6),1.2 (0.4–2.2),2.6 (0.4–4.4),5.2 (2.6–7.8),13.9 (10.2–17.6),13.9 
Ulleung-gun,Gyeongsangbuk,경상북도,울릉군,9,0.4 (0.1–0.7),0.1 (0–0.1),0.1 (0–0.3),0.2 (0–0.6),0.8 (0.2–1.3),0.8 
"Changwon-si,
Uichang-gu",Gyeongsangnam,경상남도,창원시의창구,26.8,15.3 (10.6–20.1),3.2 (1.3–5.2),10.7 (2.4–17),26.8 (10.8–42.2),56 (38.4–73.5),56 
"Changwon-si,
Seongsan-gu",Gyeongsangnam,경상남도,창원시성산구,25.8,9.6 (6.7–12.5),1.7 (0.7–2.8),6.4 (1.4–10.2),16.7 (7–26.1),34.5 (23.9–45),34.5 
"Changwon-si,
Masanhappo-gu",Gyeongsangnam,경상남도,창원시마산합포구,25.1,16 (11–20.8),3.6 (1.4–6),11.2 (2.5–17.9),26.6 (10.9–42.7),57.4 (39.2–75.6),57.4 
"Changwon-si,
Masanhoewon-gu",Gyeongsangnam,경상남도,창원시마산회원구,26.5,14.2 (9.8–18.6),3 (1.2–4.8),10.5 (2.3–16.7),24.7 (10–39.1),52.4 (35.9–68.8),52.4 
"Changwon-si,
Jinhae-gu",Gyeongsangnam,경상남도,창원시진해구,25.3,11.8 (8.2–15.4),2.6 (1–4.3),8.2 (1.8–13.1),19.9 (8.2–31.8),42.6 (29.2–56),42.6 
Jinju-si,Gyeongsangnam,경상남도,진주시,26.4,28.2 (19.4–37),6.6 (2.6–10.7),19.7 (4.4–31.4),48.5 (19.4–77.4),103 (70.3–135.7),103 
Tongyeong-si,Gyeongsangnam,경상남도,통영시,19.4,9.5 (6.6–12.2),1.9 (0.7–3.3),5.8 (1.2–9.5),13 (6–18.9),30.3 (22.6–37.9),30.3 
Sacheon-si,Gyeongsangnam,경상남도,사천시,25.3,11.7 (8–15.3),2.9 (1.1–4.7),8 (1.8–12.7),19.5 (7.9–31.4),42 (28.6–55.5),42 
Gimhae-si,Gyeongsangnam,경상남도,김해시,27.2,29.1 (20.1–38.4),6.2 (2.4–10),20.5 (4.6–32.6),51.7 (20.7–81.4),107.4 (73.7–141.1),107.4 
Miryang-si,Gyeongsangnam,경상남도,밀양시,26.2,13.9 (9.6–18.3),3.5 (1.4–5.7),9.6 (2.2–15.4),23.6 (9.4–38.1),50.7 (34.4–67),50.7 
Geoje-si,Gyeongsangnam,경상남도,거제시,19.3,11.1 (7.8–14.1),2.1 (0.7–3.5),6.4 (1.3–10.5),15.1 (7.1–21.7),34.7 (26.2–43.1),34.7 
Yangsan-si,Gyeongsangnam,경상남도,양산시,26.8,19.2 (13.3–25.3),4.2 (1.7–6.8),13.7 (3.1–21.8),33.7 (13.5–53.4),70.8 (48.5–93.2),70.8 
Uiryeong-gun,Gyeongsangnam,경상남도,의령군,25.7,5.6 (3.8–7.3),1.5 (0.6–2.5),3.6 (0.8–5.8),9.3 (3.7–15),20 (13.5–26.5),20 
Haman-gun,Gyeongsangnam,경상남도,함안군,26.4,8 (5.5–10.5),2 (0.8–3.3),5.5 (1.2–8.7),13.6 (5.4–21.9),29.1 (19.8–38.5),29.1 
Changnyeong-gun,Gyeongsangnam,경상남도,창녕군,24.7,9.2 (6.4–12.1),2.4 (0.9–3.9),6.2 (1.3–9.9),15.1 (6.2–24.5),32.9 (22.4–43.5),32.9 
Goseong-gun,Gyeongsangnam,경상남도,고성군,23.8,7.9 (5.5–10.3),2 (0.8–3.3),5 (1.1–8.1),12.6 (5.2–20.3),27.6 (18.8–36.4),27.6 
Namhae-gun,Gyeongsangnam,경상남도,남해군,21.4,8.5 (5.9–10.9),2.2 (0.8–3.6),4.9 (1–8),12.3 (5.3–19.3),27.9 (19.7–36.1),27.9 
Hadong-gun,Gyeongsangnam,경상남도,하동군,26.5,8.4 (5.8–11.1),2.3 (0.9–3.7),5.6 (1.3–8.9),14.2 (5.6–23),30.4 (20.6–40.3),30.4 
Sancheong-gun,Gyeongsangnam,경상남도,산청군,25.9,6.7 (4.6–8.8),1.8 (0.7–2.9),4.4 (1–7.1),11.2 (4.4–18.2),24.1 (16.3–32),24.1 
Hamyang-gun,Gyeongsangnam,경상남도,함양군,26,7 (4.8–9.2),1.9 (0.7–3.1),4.7 (1–7.5),11.8 (4.7–19.1),25.4 (17.2–33.7),25.4 
Geochang-gun,Gyeongsangnam,경상남도,거창군,25.3,8.8 (6–11.5),2.3 (0.9–3.7),5.8 (1.3–9.3),14.6 (5.9–23.6),31.5 (21.3–41.7),31.5 
Hapcheon-gun,Gyeongsangnam,경상남도,합천군,24.5,9.2 (6.3–12),2.5 (0.9–4),6 (1.3–9.6),15 (6.1–24.2),32.6 (22.2–43.1),32.6 
Jeju-si,Jeju,제주특별자치도,제주시,13.9,12.9 (8.2–17.7),2.4 (0.8–4.5),10.5 (1.6–18.9),19.3 (8.2–31.9),45 (29–61.1),45 
Seogwipo-si,Jeju,제주특별자치도,서귀포시,13.2,5.6 (3.5–7.9),1.1 (0.3–2.1),4.6 (0.7–8.4),8 (3.1–13.9),19.3 (11.9–26.8),19.3 
